calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
7,0.001,0.0009,10,-1.9166877929759107e-06,7.80922967870039e-07,-0.01,0.01,1.4955106295836023e-07,-1.6808930598351755e-07,-1.6808930598351755e-07,9.39355236074616e-07,-1.5707963267948966,1.5707963267948966,2,15,20
8,0.001,0.0009,10,-3.3197216384800336e-06,1.3643903220768037e-06,-0.01,0.01,1.1585505868390037e-07,1.034924256543713e-07,1.034924256543713e-07,1.7638202820047278e-06,-1.5707963267948966,1.5707963267948966,2,15,20
9,0.001,0.0009,10,-2.613235656211446e-06,2.159306910094694e-06,-0.01,0.01,1.1610348856266338e-07,1.8906970305037047e-08,1.8906970305037047e-08,9.424441658077224e-07,-1.5707963267948966,1.5707963267948966,2,15,20
10,0.001,0.0009,10,-7.103558150174472e-07,1.7724552509569842e-06,-0.01,0.01,1.530151180461818e-07,-7.985065401109348e-08,-7.985065401109348e-08,4.4417864453706347e-07,-1.5707963267948966,1.5707963267948966,2,15,20
11,0.001,0.0009,10,-2.9303478074131437e-06,1.401833815129091e-06,-0.01,0.01,1.434690499267417e-07,-5.7840845222944526e-08,-5.7840845222944526e-08,4.4920121933350445e-07,-1.5707963267948966,1.5707963267948966,2,15,20
12,0.001,0.0009,10,9.838832343946894e-08,4.3916068444374406e-07,-0.01,0.01,1.7676109943441098e-07,-1.0909633917910623e-07,-1.0909633917910623e-07,4.0959656722784583e-07,-1.5707963267948966,1.5707963267948966,2,15,20
13,0.001,0.0009,10,-2.7979837511896703e-06,1.4076202357535456e-06,-0.01,0.01,1.4129870276464889e-07,3.581797593289494e-08,3.581797593289494e-08,4.1511753635994976e-07,-1.5707963267948966,1.5707963267948966,2,15,20
14,0.001,0.0009,10,-9.101841333411634e-07,-6.646964787318325e-08,-0.01,0.01,1.979845630190173e-07,-1.462060145074046e-07,-1.462060145074046e-07,4.411474290900754e-07,-1.5707963267948966,1.5707963267948966,2,15,20
15,0.001,0.0009,10,-3.7606265401139194e-07,-1.317689487589461e-06,-0.01,0.01,2.6262437128711837e-07,-2.3430350016182865e-07,-2.3430350016182865e-07,5.146159584107453e-07,-1.5707963267948966,1.5707963267948966,2,15,20
16,0.001,0.0009,10,-5.147521580016282e-06,-1.0730130102193971e-07,-0.01,0.01,1.2784834569718022e-07,3.918139177808247e-08,3.918139177808247e-08,5.933140768295632e-07,-1.5707963267948966,1.5707963267948966,2,15,20
