calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.05,0.009,20,-0.02327806496272679,-0.012355181312482469,-0.02,0.0
1,0.05,0.009,20,0.018568061669640812,0.05163441313652479,0.0,0.019
2,0.05,0.009,20,-0.021832913615886868,0.01507101418208374,-0.02,-0.019
3,0.05,0.009,20,-0.0331634761578455,-0.000435392700703519,-0.05,0.01
0,0.05,0.009,20,-0.021562269296316758,-0.009903520519050508,-0.02,0.0
1,0.05,0.009,20,0.01746168693856595,0.056110020664431486,0.0,0.019
2,0.05,0.009,20,-0.014810405324093582,0.01619487313528776,-0.02,-0.019
3,0.05,0.009,20,-0.03703845098354198,0.0021218463704338075,-0.05,0.01
0,0.05,0.009,20,-0.023627778287046347,-0.006765435528232572,-0.02,0.0
1,0.05,0.009,20,0.013623119773929777,0.051682943006758686,0.0,0.019
2,0.05,0.009,20,-0.020194716499794155,0.024287459857052763,-0.02,-0.019
3,0.05,0.009,20,-0.041710914623931665,0.0027004851236415803,-0.05,0.01
0,0.05,0.0009,20,-0.037457286857843226,-0.005399565909835082,-0.02,0.0
1,0.05,0.0009,20,-0.002181510802059916,0.018364827390374476,0.0,0.019
2,0.05,0.0009,20,-0.023583997073306356,-0.026449127894807016,-0.02,-0.019
3,0.05,0.0009,20,-0.06454831673759931,0.006487587763276533,-0.05,0.01
0,0.05,0.0009,20,-0.03803853332431646,0.002471892496703194,-0.02,0.0
1,0.05,0.0009,20,0.0034513168855845096,0.015791576694220218,0.0,0.019
2,0.05,0.0009,20,-0.017767888908113212,-0.020842244863034372,-0.02,-0.019
3,0.05,0.0009,20,-0.06894104989641779,0.013089869155022997,-0.05,0.01
0,0.05,0.0009,20,-0.03865441764426556,0.009487108422425191,-0.02,0.0
1,0.05,0.0009,20,0.005540103241314842,0.02061703736464075,0.0,0.019
2,0.05,0.0009,20,-0.016483188580547245,-0.02047203540407596,-0.02,-0.019
3,0.05,0.0009,20,-0.06433726853735033,0.011381973876275271,-0.05,0.01
0,0.05,0.0009,20,-0.030839918498666716,0.02502486687358734,-0.02,0.0
1,0.05,0.0009,20,0.008638615435792382,0.02042598007839468,0.0,0.019
2,0.05,0.0009,20,-0.01634079552418617,-0.018192616671400742,-0.02,-0.019
3,0.05,0.0009,20,-0.07112797327496338,0.010059490778000961,-0.05,0.01
0,0.05,0.0009,20,-0.02432422296710358,0.030923853406654905,-0.02,0.0
1,0.05,0.0009,20,0.011470928215978565,0.015845966211510604,0.0,0.019
2,0.05,0.0009,20,-0.011567449797403474,-0.01804004942344848,-0.02,-0.019
3,0.05,0.0009,20,-0.06433193243784961,0.007088427528343189,-0.05,0.01
0,0.01,0.017,20,-0.024208752558240506,0.0016024947555907361,-0.02,0.0
1,0.01,0.017,20,-0.005274009154039406,0.01787680534217858,0.0,0.019
2,0.01,0.017,20,-0.02040762152712255,-0.018852535257603255,-0.02,-0.019
3,0.01,0.017,20,-0.04864792922414906,0.012219357781712025,-0.05,0.01
