calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
2,0.001,0.0009,15,-0.018703248798010372,-0.0197640137537066,-0.02,-0.019,8.751398125390009e-07,9.767663615075205e-07,9.767663615075205e-07,1.2577042172738076e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.05044530215493615,0.010642094646093564,-0.05,0.01,3.9878088015059107e-07,2.960330563930736e-07,2.960330563930736e-07,3.4873435613463313e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.018854506615140508,0.0010620821923352905,-0.02,0.0,5.466803658994358e-07,5.293350819951012e-07,5.293350819951012e-07,6.648575044952063e-07,-75 to -15 deg
1,0.001,0.0009,15,0.000308255130917588,0.019948292835289372,0.0,0.019,3.4753420082149165e-07,4.965440294753004e-07,4.965440294753004e-07,9.74323333842196e-07,-75 to -15 deg
2,0.001,0.0009,15,-0.019082102046021576,-0.019805629270574516,-0.02,-0.019,8.486196010826045e-07,8.51665867055487e-07,8.51665867055487e-07,1.0048096582516444e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.04955357226482403,0.012727826031745207,-0.05,0.01,4.251296275752701e-07,3.047631625701549e-07,3.047631625701549e-07,3.4271269654555043e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.018726522970248845,0.001291729202089248,-0.02,0.0,6.110975709180745e-07,6.248717283589408e-07,6.248717283589408e-07,7.973733978756882e-07,-75 to -15 deg
1,0.001,0.0009,15,0.00012961377146362822,0.019426000928056224,0.0,0.019,3.693920275287908e-07,5.648042088342246e-07,5.648042088342246e-07,1.1498450247196056e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.019291699862052283,-0.02026241706678769,-0.02,-0.019,8.747281264037165e-07,8.994884825654781e-07,8.994884825654781e-07,1.078413915784486e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.049066209781339444,0.012641994495018445,-0.05,0.01,4.1815976500543713e-07,3.1677173243313986e-07,3.1677173243313986e-07,3.695246601704102e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.018704660683451443,0.0013251342800072734,-0.02,0.0,6.482756962927076e-07,6.421204924703209e-07,6.421204924703209e-07,7.883474937498142e-07,-75 to -15 deg
1,0.001,0.0009,15,3.8607079844035034e-05,0.01913601999739202,0.0,0.019,4.0144223174333427e-07,6.533144629548507e-07,6.533144629548507e-07,1.3702931489798024e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.01871794856925819,-0.01996901227801648,-0.02,-0.019,9.80227485682142e-07,1.1252287481980682e-06,1.1252287481980682e-06,1.4630109934540014e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.04865000473442595,0.010178796308106643,-0.05,0.01,4.784880821924518e-07,3.3735847819599885e-07,3.3735847819599885e-07,3.582037477095258e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.01828157295844652,0.0015297932314920816,-0.02,0.0,6.190518633834796e-07,6.211832324515483e-07,6.211832324515483e-07,7.785127637171961e-07,-75 to -15 deg
1,0.001,0.0009,15,0.00012231088485347596,0.01919167279315016,0.0,0.019,4.035626936046359e-07,6.437683816881633e-07,6.437683816881633e-07,1.3250255275640955e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.0187467734603991,-0.01965611832714885,-0.02,-0.019,9.571716304312917e-07,1.08626077678665e-06,1.08626077678665e-06,1.4021799761323098e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.047903379695524585,0.010362309162349788,-0.05,0.01,4.802537301597226e-07,3.477876289831345e-07,3.477876289831345e-07,3.7431426739062247e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.018443497111420255,0.0014455547056553527,-0.02,0.0,5.393495577728269e-07,4.828780259505816e-07,4.828780259505816e-07,5.742529549405598e-07,-75 to -15 deg
1,0.001,0.0009,15,0.00018374978300649024,0.019484360340119026,0.0,0.019,3.837386495990062e-07,6.465535701704256e-07,6.465535701704256e-07,1.4156414819654607e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.01863113050891032,-0.019518233128037063,-0.02,-0.019,1.1791968432341927e-06,1.277533164432281e-06,1.277533164432281e-06,1.5426947533758122e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.04842135078410759,0.010240940132570086,-0.05,0.01,4.640392554407157e-07,3.2455180259543674e-07,3.2455180259543674e-07,3.473471731153609e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.018659317325772543,0.0011650038180404992,-0.02,0.0,5.09992813947883e-07,4.815631628801723e-07,4.815631628801723e-07,6.049872954991093e-07,-75 to -15 deg
1,0.001,0.0009,15,0.0004438702424507885,0.01990209083615106,0.0,0.019,4.085963988964635e-07,6.788592808362856e-07,6.788592808362856e-07,1.4434866131930823e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.018728688296799377,-0.01965959686084813,-0.02,-0.019,1.1752168473322614e-06,1.3044390185066316e-06,1.3044390185066316e-06,1.6107952670117274e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.04841766600646504,0.009775487936894948,-0.05,0.01,4.738312821392122e-07,3.260834708603373e-07,3.260834708603373e-07,3.431148948602572e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.020047824101320135,-0.0002566322816247289,-0.02,0.0,7.6176243981523e-08,3.767194949149535e-08,3.767194949149535e-08,8.856209789958272e-07,-30 to 30 deg
1,0.001,0.0009,15,2.0574574747552051e-07,0.02008160721536129,0.0,0.019,7.751007295025764e-08,-8.133517771662456e-08,-8.133517771662456e-08,1.4038443260217987e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.019283805365438333,-0.018890115906863788,-0.02,-0.019,1.2733190507052073e-07,2.819901609186685e-07,2.819901609186685e-07,1.5119908210204719e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.046159722286174494,0.021840910229323367,-0.05,0.01,7.624936764471077e-08,-6.58212774086051e-08,-6.58212774086051e-08,1.3535934526065097e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.020058834125633626,-0.0002692703991724515,-0.02,0.0,7.287237340005589e-08,3.277895324593665e-08,3.277895324593665e-08,1.4453468132848841e-06,-30 to 30 deg
1,0.001,0.0009,15,0.00023537444583445258,0.01946301890061767,0.0,0.019,8.370081871557286e-08,-1.5232700087097244e-07,-1.5232700087097244e-07,1.964705977673214e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.01821735958316949,-0.013810730465533615,-0.02,-0.019,1.0143237222923257e-07,1.6267522345892725e-07,1.6267522345892725e-07,1.024486517230893e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.0473431190475474,0.007621586612350903,-0.05,0.01,7.35782247268241e-08,1.453266119220216e-09,1.453266119220216e-09,1.0413482874025435e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.01995170498891161,-0.0003993555844096144,-0.02,0.0,7.262251115510101e-08,-8.458503666003337e-09,-8.458503666003337e-09,1.2788695680645004e-06,-30 to 30 deg
1,0.001,0.0009,15,0.0005472927783251743,0.01886515000326553,0.0,0.019,9.629438298764273e-08,-2.149860139173615e-07,-2.149860139173615e-07,1.929203084116463e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.01936609086444459,-0.01819219620059027,-0.02,-0.019,9.354095466241363e-08,1.6031931192484135e-07,1.6031931192484135e-07,1.3064730977743595e-06,-30 to 30 deg
3,0.001,0.0009,15,-0.04933291991041723,0.0009363743097487334,-0.05,0.01,7.975033725892183e-08,-9.659488350070641e-08,-9.659488350070641e-08,1.336763510485384e-06,-30 to 30 deg
0,0.001,0.0009,15,-0.01998485859786436,-0.0005925285281576334,-0.02,0.0,7.292628329533775e-08,-1.3598245599184932e-08,-1.3598245599184932e-08,1.219255545166767e-06,-30 to 30 deg
1,0.001,0.0009,15,0.0006160882477029537,0.018480029683318584,0.0,0.019,9.225069070618721e-08,-1.9700742238641456e-07,-1.9700742238641456e-07,1.9339639820221656e-06,-30 to 30 deg
2,0.001,0.0009,15,-0.019547442130422456,-0.018501427951416693,-0.02,-0.019,1.2476769490728412e-07,2.6229112026221894e-07,2.6229112026221894e-07,1.3858698380021917e-06,-30 to 30 deg
