calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
3,0.01,0.017,20,-0.02110181621534788,0.018975072821153245,-0.05,0.01
0,0.01,0.017,20,-0.018006585908553863,0.004591385492466525,-0.02,0.0
1,0.01,0.017,20,-0.0027831121678726757,0.021562964420295497,0.0,0.019
2,0.01,0.017,20,-0.023303365220414814,-0.02652656703134575,-0.02,-0.019
3,0.01,0.017,20,-0.020854766784239014,0.051180629838535524,-0.05,0.01
0,0.01,0.017,20,-0.017048794627031728,0.004926433894014491,-0.02,0.0
1,0.01,0.017,20,-0.0033119924980128694,0.02265953490623044,0.0,0.019
2,0.01,0.017,20,-0.025479275314694533,-0.027302086211115358,-0.02,-0.019
3,0.01,0.017,20,-0.009905053313895573,0.054043366097368664,-0.05,0.01
0,0.01,0.017,20,-0.017151410900673472,0.004659939271841316,-0.02,0.0
1,0.01,0.017,20,-0.004548949044554231,0.02554413027886719,0.0,0.019
2,0.01,0.017,20,-0.024491765506419856,-0.026859798757458666,-0.02,-0.019
3,0.01,0.017,20,-0.024338762029600693,-0.006696450443776397,-0.05,0.01
0,0.01,0.009,20,-0.018904361776878063,-0.005077633179847477,-0.02,0.0
1,0.01,0.009,20,0.00037123728588490354,0.02289902789995723,0.0,0.019
2,0.01,0.009,20,-0.020099902578894876,-0.018948828436725716,-0.02,-0.019
3,0.01,0.009,20,-0.04369991147888795,0.0368614655988741,-0.05,0.01
0,0.01,0.009,20,-0.01905474877957174,-0.006169465902753557,-0.02,0.0
1,0.01,0.009,20,0.001207915231817463,0.022248315878136783,0.0,0.019
2,0.01,0.009,20,-0.020364088583773036,-0.01963676986441868,-0.02,-0.019
3,0.01,0.009,20,-0.057594406948667146,0.03173412326166364,-0.05,0.01
0,0.01,0.009,20,-0.01975338035906879,-0.00531092894993803,-0.02,0.0
1,0.01,0.009,20,0.0020538260570419136,0.020488314169044147,0.0,0.019
2,0.01,0.009,20,-0.020536019775146266,-0.0195106954875792,-0.02,-0.019
3,0.01,0.009,20,-0.06356552828028689,-0.03496644870850896,-0.05,0.01
0,0.01,0.009,20,-0.01923399839493561,-0.005867631353794996,-0.02,0.0
1,0.01,0.009,20,0.0018989933719167071,0.020497274441796262,0.0,0.019
2,0.01,0.009,20,-0.020198418518106474,-0.018715135506726707,-0.02,-0.019
3,0.01,0.009,20,-0.0419400816043891,0.04341991387509229,-0.05,0.01
0,0.01,0.009,20,-0.019651148628591134,-0.006061217971223211,-0.02,0.0
1,0.01,0.009,20,0.0024519444966533905,0.018563952414854906,0.0,0.019
2,0.01,0.009,20,-0.016536588448550632,-0.019430085943038588,-0.02,-0.019
3,0.01,0.009,20,-0.0398451847459823,0.01772939524847328,-0.05,0.01
0,0.01,0.0009,20,-0.018937876073788086,-0.0008512863411121104,-0.02,0.0
1,0.01,0.0009,20,0.004203824766393522,0.023160634879525206,0.0,0.019
