sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,True,6,7,1.2415902866128536,0.000504104449035937,-0.010034536901387746,-0.00831791782448806,4.723980114203636e-05
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,0,16.25279692240602,0.0005003371082169029,-0.11585280726510117,-0.0019263678612562224,-5.9999485029908096e-05
0.05,0.09,0.009,20,True,6,7,1.2415902866128536,0.000504104449035937,-0.010034536901387746,-0.00831791782448806,4.723980114203636e-05
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.79442511915462,0.0005001646257367031,-0.1328122959591829,-0.005280799804407088,0.0002168287564208161
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,True,1,2,0.8934244464847806,0.0005040343691369599,-0.011686112857276498,-0.01359580784338454,-8.699319704109526e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,True,0,1,0.881572014294367,0.0005019631559915437,-0.05442153081100576,0.003879788988385755,2.3359274721235857e-05
