sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0.001,0.017,15,-0.049394187058722575,0.006749697109399072,0.05,0.01
0.001,0.017,15,-0.019626375742751077,0.0005519183997158255,0.02,0.0
0.001,0.017,15,-0.0005757208357199183,0.019280517019375335,0.0,0.019
0.001,0.017,15,-0.02038753068044983,-0.019108461398912212,0.02,-0.019
0.001,0.017,15,-0.04933544126878389,0.006997416994204846,0.05,0.01
0.001,0.017,15,-0.01989939228935073,0.0006145303302067053,0.02,0.0
0.001,0.017,15,-0.00046020943997362627,0.019285756403659936,0.0,0.019
0.001,0.017,15,-0.02043555340125098,-0.01952536841958995,0.02,-0.019
0.001,0.017,15,-0.049522447795794816,0.007407795435743166,0.05,0.01
0.001,0.017,15,-0.019693440938586538,0.0007594900165837351,0.02,0.0
0.001,0.017,15,-0.0005994666197660845,0.01938282663439783,0.0,0.019
0.001,0.017,15,-0.02032699800406538,-0.01921512183791133,0.02,-0.019
0.001,0.017,15,-0.04964039125836018,0.006179910725916218,0.05,0.01
0.001,0.009,15,-0.020009788504849683,-0.00048675971464377864,0.02,0.0
0.001,0.009,15,0.0007709452404663393,0.01984946643641045,0.0,0.019
0.001,0.009,15,-0.020153870153916884,-0.018997957321082736,0.02,-0.019
0.001,0.009,15,-0.04807374203513851,0.01141459805711659,0.05,0.01
0.001,0.009,15,-0.020040703187776128,-0.0006207218624712717,0.02,0.0
0.001,0.009,15,0.0008264470378515901,0.019782038968668973,0.0,0.019
0.001,0.009,15,-0.020091979145652007,-0.01930494899466721,0.02,-0.019
0.001,0.009,15,-0.04820947517969993,0.01249760128145031,0.05,0.01
0.001,0.009,15,-0.019947107019767762,-0.0005736339416276705,0.02,0.0
0.001,0.009,15,0.0005419179860977556,0.019544140662790026,0.0,0.019
0.001,0.009,15,-0.019957709789096504,-0.019040778117964598,0.02,-0.019
0.001,0.009,15,-0.048037626867177045,0.010712570631406477,0.05,0.01
0.001,0.009,15,-0.02011140731576949,-0.0004637022011660224,0.02,0.0
0.001,0.009,15,0.00028796740176902807,0.019401198603007618,0.0,0.019
0.001,0.009,15,-0.019761518736534516,-0.018861373449785394,0.02,-0.019
0.001,0.009,15,-0.04822168837918567,0.0065328238066824475,0.05,0.01
0.001,0.009,15,-0.020190826805378172,-0.00034845617895812254,0.02,0.0
0.001,0.009,15,0.0003089233513276846,0.019412056938407005,0.0,0.019
0.001,0.009,15,-0.01979529509694424,-0.01893637554417743,0.02,-0.019
0.001,0.009,15,-0.048315813098260225,0.0054075889786659136,0.05,0.01
0.001,0.0009,15,-0.01985872462861254,-3.343779150423263e-05,0.02,0.0
0.001,0.0009,15,7.701609947010579e-05,0.019730153138993383,0.0,0.019
0.001,0.0009,15,-0.02031429104698412,-0.01955013744182916,0.02,-0.019
0.001,0.0009,15,-0.04991845090814006,0.010677118050943053,0.05,0.01
0.001,0.0009,15,-0.019855324080585605,6.602735480675589e-05,0.02,0.0
0.001,0.0009,15,0.00020918434171427884,0.019587382448603582,0.0,0.019
0.001,0.0009,15,-0.019970643875254237,-0.01938346846567734,0.02,-0.019
0.001,0.0009,15,-0.04988271211621556,0.010800012390526345,0.05,0.01
0.001,0.0009,15,-0.019858784100419996,7.873006952005744e-05,0.02,0.0
0.001,0.0009,15,0.00028014735185341794,0.019548320606892253,0.0,0.019
0.001,0.0009,15,-0.0199128689696095,-0.019196153996906332,0.02,-0.019
0.001,0.0009,15,-0.04990343980633803,0.010366802024382457,0.05,0.01
0.001,0.0009,15,-0.020001507860266752,0.00013963956180075804,0.02,0.0
0.001,0.0009,15,0.00020188886428849958,0.01957501203551755,0.0,0.019
0.001,0.0009,15,-0.019887540306571645,-0.019158234104302393,0.02,-0.019
0.001,0.0009,15,-0.050072592792675084,0.010395421536357443,0.05,0.01
0.001,0.0009,15,-0.020141119457304475,4.851497912129887e-05,0.02,0.0
0.001,0.0009,15,0.00046946431559258104,0.01943372633007742,0.0,0.019
0.001,0.0009,15,-0.01974493528107489,-0.019320729502007167,0.02,-0.019
0.001,0.0009,15,-0.049270605880348664,0.010195421034026386,0.05,0.01
0.05,0.017,10,0.025480330925840747,-0.023315310018707215,0.02,0.0
0.05,0.017,10,0.010965927874377751,0.013292276039178881,0.0,0.019
