sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,movement_name
0.001,0.0017,0.0009,15,True,0,1,1.5771660179667992,4.027988556138604e-07,-0.02049426998799761,0.00018129189848227915,-0.0012313299341040515,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,962.3306676546274,4.000000792071015e-07,-0.1504679576853081,6.581675958255526e-05,-0.0009315702673694443,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,955.1713265157973,4.000000844281883e-07,-0.1503501214278092,-7.845817582039724e-05,-0.0017029757907437019,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,817.8273837670437,4.0000008205042696e-07,-0.14951383566173737,-7.294881151613052e-05,0.0029175207347836313,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.7937772349718368,4.028125997598032e-07,-0.020176605460623828,0.0001872037169717973,-0.0002174083894639899,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,843.5669871528019,4.0000004817589586e-07,-0.1498258026598317,-0.00015130166684441279,0.002403934917454169,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1374.4344402303575,4.0000007706594755e-07,-0.14973111579145376,9.433936383057306e-05,-0.016487101284008758,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1366.8033217150355,4.000000497280881e-07,-0.15020102188187232,0.00015116391732986225,-0.01622928131353023,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,2.3052080616136497,4.02803164864254e-07,-0.02039493863359526,0.00016075951542374208,0.0007854575289652408,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,755.9575605095499,4.0279393815070226e-07,-0.020900089817385444,-0.008479391911403287,-0.053932123079891606,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,1316.9641996751093,4.0278251545236263e-07,-0.02090538692909157,-0.0013585903602991107,-0.010891935113566223,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,801.8207416807265,4.027873422313337e-07,-0.0211013523853851,0.00918326538332576,0.05697443243772804,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,1561.282350001879,4.0001935585957263e-07,-0.15040110382316538,0.010241294272505844,0.0802081679312779,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,1646.5701794261797,4.0001949122042747e-07,-0.15018699613212175,-0.01029000117057315,-0.0683228283662822,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,3751.5009507664695,4.000029655490004e-07,-0.15037122474272957,0.0006284322074936918,-0.01968620857940309,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,2197.239782526078,4.0000294569137314e-07,-0.15002199529758595,-0.0006356098172063486,0.022429904042671242,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,986.3524224210342,4.027915352281828e-07,-0.020683307476583944,0.0008746247555546144,0.0034670334582161287,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,1865.4130951357095,4.0281410376170364e-07,-0.02019812295867124,0.0026078479755181527,0.015036052883150764,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,3384.503108812833,4.000068065579768e-07,-0.14990436677137495,0.004181618880304922,0.0427006889834409,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1517.931556739358,4.0279782923108853e-07,-0.020594368340992885,-0.0034858474150986493,-0.023733120827503732,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,1869.65891063058,4.0000683954199565e-07,-0.14983254245469352,-0.004204767457826646,0.003443247877535582,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,2.1648762035036535,4.028042611543168e-07,-0.020369855419861624,0.00043985047020327365,0.0009348333985299323,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,1759.1011977001763,4.000000759408354e-07,-0.14961534385719738,-5.846985664944374e-06,0.02674892258510633,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,1781.6504781782824,4.000000372683551e-07,-0.14980349052410066,0.00013495764803206367,0.0270180692037296,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,2246.266311382319,4.0000007716868624e-07,-0.1503922100986749,4.5769363836236836e-05,0.00555875975484724,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.900909398653269,4.0280708687934954e-07,-0.02030536458305743,0.00046120491465523957,-0.0004980343577566351,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,2225.632170307771,4.000000550813669e-07,-0.15021421808104207,0.0001253523404584846,0.0064936298103677,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1389.2468626457144,4.0000003791410494e-07,-0.15021653173962946,-0.00011880060551692389,-0.025539806108221492,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1352.000541457402,4.0000005178789433e-07,-0.1498436551299482,-0.00012605946248036304,-0.024874081434866045,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.839503652477562,4.028120034764711e-07,-0.020190281892142933,0.00020980676993132615,0.000485772757015839,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,1510.1878886865634,4.028154394615997e-07,-0.02013989319276015,-0.00010415369534770847,-0.0039217469048295935,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,1718.1623436430323,4.028186928254474e-07,-0.020073484637194043,0.0012555025362687017,0.007934513000573084,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,3224.657417255499,4.000051885767961e-07,-0.15026178537237803,-0.002581813803575462,-0.02831544485466371,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,3504.971090045538,4.0000516001391983e-07,-0.1504733785580515,0.002515111410834378,0.047336992915555064,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,888.089422382198,4.027997462506829e-07,-0.02052698756231201,-0.0029111862393865306,-0.021211508949048916,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,1435.100439607985,4.000066514101868e-07,-0.14956628600582642,0.004877606362542731,-0.005446704148704314,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,2027.4812185098297,4.0000663813457736e-07,-0.1503399093456318,-0.004876257418543938,-0.06667405126796523,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,1.669265794622573,4.0280338717056627e-07,-0.02038970976522228,0.0002092160063175649,-0.0011728314664502376,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,1767.5730441821545,4.000000662015015e-07,-0.15039210262806002,4.248555510553338e-05,-0.004262662416015977,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,1058.8514713021616,4.0278005281140154e-07,-0.021094378952414963,0.0061136036524122245,0.036212981845324246,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,1743.0116733148557,4.0000022867215523e-07,-0.15098906522835961,0.0003872726306632199,-0.0041599782547585085,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,1715.8108151707263,4.0279153775019113e-07,-0.020712616622141095,0.001968030675251175,0.011818943974068602,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1422.7428528089179,4.00000065464789e-07,-0.1496216158772493,-8.72784292788662e-05,-0.004826615542645095,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.325451007854798,4.0281856205756296e-07,-0.020039173627282483,0.0003021021284616048,0.0007084679336676993,-15 to 15 deg
