sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,n_obs
0.05,0.09,0.017,20,False,4,0,28.599028296544578,0.0005004905281386456,-0.18952505595086633,0.018355416306848487,-0.0002545720323281911,20
0.05,0.09,0.017,20,False,0,3,23.435011736987555,0.0005002243111360766,-0.1266955005650024,-0.008095915596471387,-0.0006408425363630499,20
0.05,0.09,0.017,20,False,2,1,61.61807049077447,0.0005004995029240585,-0.19371535231699658,-0.005544232410507536,-0.00016853360386801517,20
0.05,0.09,0.017,20,False,3,0,19.925982259857626,0.0005002039271748433,-0.1724420475295362,-0.002483716104169665,0.00012573954625296347,20
0.05,0.09,0.017,20,False,3,6,24.422520652484756,0.0005001231973882927,-0.1406111953130155,0.005510102154392766,0.00014293164614693452,20
0.05,0.09,0.017,20,False,6,0,28.071017208271126,0.0005000995595509472,-0.14907706773593712,0.001753345653576136,-0.0007913476181125985,20
0.05,0.09,0.017,20,True,0,1,1.0435945614744482,0.0005046453673833765,-0.0015694568716474154,0.0028974834678582684,-2.215658909008482e-05,20
0.05,0.09,0.017,20,True,3,4,1.494124312619025,0.000502557560075515,-0.04087089971431017,0.003172674519867631,4.740960310974393e-05,20
0.05,0.09,0.017,20,True,4,5,1.185080006452871,0.0005035399302390216,-0.02086090218823124,0.002106414888898763,-7.941802976456397e-05,20
0.05,0.09,0.017,20,False,4,1,32.98653931981627,0.0005005474123095171,-0.10345168483672815,0.0028311984494870423,-0.00037966452959032183,20
0.05,0.09,0.017,20,False,6,4,41.68052589495896,0.0005022755651609206,-0.04732599598029759,-0.003211607555097122,-0.0004254853643444241,20
0.05,0.09,0.017,20,False,6,3,28.905778085272164,0.0005002386040888619,-0.12455658364660169,-0.005529596807422221,-0.0009593169715786472,20
0.05,0.09,0.017,20,False,8,5,17.606477356550187,0.0005003704583233324,-0.11590335917991595,0.0124267787810032,7.781026831410665e-05,20
